 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,,1,0.0200,0.0000,0.2800,0,0.0000,0.3000,0,0.0200,0.0200,255,255
2,,2,0.9415,0.0600,1.6300,0,0.4700,0.8900,0,0.8460,0.8778,255,255
3,,2,0.7577,2.6100,1.4100,0,2.8300,2.0600,0,0.6862,0.6928,255,255
4,,2,0.7070,2.7000,0.1000,0,2.9300,0.7000,0,0.6426,0.6584,255,255
5,,2,0.7042,2.1200,0.2900,0,2.6000,0.1000,0,0.5162,0.6290,255,255
6,,2,0.6756,2.6300,0.4900,0,2.7500,1.1100,0,0.6315,0.6450,255,255
7,,2,0.6687,1.3200,0.0200,0,1.9100,0.1500,0,0.6042,0.6434,255,255
8,,2,0.5873,3.1400,1.5900,0,2.9100,2.0000,0,0.4701,0.5598,255,255
9,,2,0.5628,1.7900,2.7800,0,2.0100,2.3200,0,0.5099,0.5094,255,255
10,,2,0.5504,0.0500,1.0600,0,0.2000,0.5800,0,0.5029,0.5041,255,255
11,,2,0.5038,2.9700,0.8700,0,3.0600,0.5000,0,0.3808,0.4669,255,255
12,,2,0.4953,1.6500,0.5200,0,1.9100,0.1500,0,0.4522,0.4374,255,255
13,,2,0.4931,3.1000,0.0400,0,3.0600,0.5000,0,0.4617,0.4777,255,255
14,,2,0.4894,1.0900,1.6700,0,1.4700,1.4200,0,0.4549,0.4578,255,255
15,,2,0.4890,0.6900,2.5300,0,1.1500,2.5200,0,0.4601,0.4489,255,255
16,,2,0.4670,1.5600,2.4200,0,1.7900,2.7800,0,0.4272,0.4130,255,255
17,,2,0.4621,2.4100,0.4600,0,2.6000,0.1000,0,0.4071,0.4166,255,255
18,,2,0.4614,2.1400,2.1900,0,2.2000,1.7700,0,0.4243,0.4024,255,255
19,,2,0.4590,2.0800,1.0900,0,2.1500,1.5200,0,0.4357,0.4189,255,255
20,,2,0.4446,1.0200,1.5600,0,1.1900,1.2000,0,0.3981,0.4057,255,255
21,,2,0.4380,1.3700,1.0900,0,1.5900,0.7900,0,0.3720,0.3829,255,255
22,,2,0.4287,1.0000,1.9100,0,1.1900,2.2600,0,0.3982,0.3711,255,255
23,,2,0.4249,0.4800,0.2000,0,0.8800,0.1600,0,0.4020,0.4054,255,255
24,,2,0.4249,2.8700,1.6000,0,2.9100,2.0000,0,0.4020,0.3740,255,255
25,,2,0.4221,0.3900,2.6300,0,0.5000,2.2700,0,0.3764,0.3772,255,255
26,,2,0.4180,0.4300,1.5600,0,0.7900,1.5000,0,0.3650,0.3584,255,255
27,,2,0.4180,1.8800,1.9000,0,1.8900,2.2500,0,0.3501,0.3882,255,255
28,,2,0.4173,1.7900,1.4200,0,1.8800,1.8000,0,0.3905,0.3678,255,255
29,,2,0.4163,2.4300,1.0800,0,2.6100,1.4100,0,0.3759,0.3635,255,255
30,,2,0.4131,0.9400,0.7700,0,0.8800,1.1500,0,0.3847,0.3920,255,255
31,,2,0.3921,0.0500,1.0600,0,0.3500,0.8800,0,0.3499,0.3615,255,255
32,,2,0.3838,1.4700,2.9200,0,1.7900,2.7800,0,0.3493,0.3623,255,255
33,,2,0.3773,2.3100,1.7700,0,2.4000,2.1100,0,0.3517,0.3171,255,255
34,,2,0.3704,0.2900,2.4300,0,0.4600,2.1300,0,0.3448,0.3484,255,255
35,,2,0.3638,2.2400,2.7800,0,2.4200,2.5200,0,0.3162,0.3070,255,255
36,,2,0.3604,2.1200,0.2900,0,2.4100,0.4600,0,0.3362,0.3140,255,255
37,,2,0.3514,0.1300,2.3700,0,0.1100,2.6800,0,0.3106,0.3144,255,255
38,,2,0.3473,0.3900,2.6300,0,0.6900,2.5300,0,0.3162,0.3143,255,255
39,,2,0.3473,0.8200,2.8800,0,1.1200,2.8200,0,0.3059,0.2920,255,255
40,,2,0.3414,2.1300,0.9800,0,2.4300,1.0800,0,0.3162,0.2940,255,255
41,,2,0.3407,2.9400,1.0500,0,2.9800,1.3600,0,0.3126,0.3080,255,255
42,,2,0.3386,0.2800,1.8900,0,0.4600,2.1300,0,0.3000,0.2918,255,255
43,,2,0.3349,2.8700,2.2100,0,2.9100,2.5200,0,0.3126,0.2930,255,255
44,,2,0.3314,2.6500,2.6000,0,2.6900,2.3200,0,0.2828,0.2886,255,255
45,,2,0.3304,1.5600,2.4200,0,1.8200,2.2500,0,0.3106,0.2789,255,255
46,,2,0.3290,3.0300,2.9200,0,3.0800,2.6600,0,0.2648,0.3109,255,255
47,,2,0.3266,2.8800,2.5600,0,2.8800,2.8700,0,0.3100,0.2955,255,255
48,,2,0.3233,2.8700,1.6000,0,2.9800,1.3600,0,0.2640,0.2809,255,255
49,,2,0.3190,0.8200,0.6300,0,0.8800,0.3500,0,0.2864,0.2887,255,255
50,,2,0.3180,2.1600,0.0000,0,1.9100,0.1500,0,0.2915,0.2954,255,255
51,,2,0.3173,0.8200,0.6300,0,1.0300,0.4700,0,0.2640,0.2894,255,255
52,,2,0.3063,0.4700,0.8900,0,0.6700,0.6900,0,0.2828,0.2543,255,255
53,,2,0.3049,1.4700,1.4200,0,1.5300,1.1400,0,0.2864,0.2650,255,255
54,,2,0.3031,1.1300,2.7900,0,1.1500,2.5200,0,0.2707,0.2642,255,255
55,,2,0.3014,0.6900,0.9200,0,0.8000,1.1700,0,0.2731,0.2793,255,255
56,,2,0.2980,1.9000,2.8100,0,2.1400,2.6700,0,0.2778,0.2628,255,255
57,,2,0.2966,1.4600,2.0800,0,1.7400,2.1200,0,0.2828,0.2631,255,255
58,,2,0.2966,2.7300,1.3900,0,2.7500,1.1100,0,0.2807,0.2632,255,255
59,,2,0.2956,2.3000,0.7100,0,2.4100,0.4600,0,0.2731,0.2592,255,255
60,,2,0.2949,0.0600,1.6300,0,0.0600,1.9000,0,0.2700,0.2431,255,255
61,,2,0.2949,2.1500,2.4600,0,2.4200,2.5200,0,0.2766,0.2572,255,255
62,,2,0.2949,1.8100,1.0300,0,2.0800,1.0900,0,0.2766,0.2625,255,255
63,,2,0.2941,0.8000,1.1700,0,0.8100,1.4600,0,0.2902,0.2710,255,255
64,,2,0.2931,1.8800,0.7600,0,2.1400,0.8400,0,0.2720,0.2540,255,255
65,,2,0.2931,2.1400,2.1900,0,2.4000,2.1100,0,0.2720,0.2429,255,255
66,,2,0.2907,2.4600,2.1200,0,2.7300,2.1700,0,0.2746,0.2435,255,255
67,,2,0.2907,1.4700,1.4200,0,1.5000,1.6900,0,0.2717,0.2516,255,255
68,,2,0.2903,1.9100,0.1500,0,2.1200,0.2900,0,0.2524,0.2468,255,255
69,,2,0.2873,1.6500,0.6700,0,1.8800,0.7600,0,0.2470,0.2452,255,255
70,,2,0.2866,2.4600,2.1200,0,2.5000,2.3900,0,0.2729,0.2533,255,255
71,,2,0.2866,2.6100,2.8300,0,2.8800,2.8700,0,0.2729,0.2539,255,255
72,,2,0.2856,0.1300,2.9300,0,0.1000,2.7100,0,0.2220,0.2669,255,255
73,,2,0.2838,1.7400,2.1200,0,1.8800,1.9000,0,0.2608,0.2500,255,255
74,,2,0.2773,1.1900,2.4900,0,1.4300,2.4000,0,0.2563,0.2264,255,255
75,,2,0.2749,1.8800,1.8000,0,2.1200,1.7300,0,0.2500,0.2422,255,255
76,,2,0.2707,2.0900,0.5400,0,2.1200,0.2900,0,0.2518,0.2462,255,255
77,,2,0.2673,1.7900,0.9900,0,1.8800,0.7600,0,0.2470,0.2258,255,255
78,,2,0.2649,0.5300,1.7800,0,0.7700,1.7200,0,0.2474,0.2284,255,255
79,,2,0.2607,1.4600,1.8500,0,1.4600,2.0800,0,0.2300,0.2317,255,255
80,,2,0.2597,2.9300,0.7000,0,3.0600,0.5000,0,0.2385,0.2246,255,255
81,,2,0.2549,0.2800,1.8900,0,0.5100,1.8300,0,0.2377,0.2228,255,255
82,,2,0.2524,0.5100,1.8300,0,0.5200,2.0500,0,0.2202,0.2116,255,255
83,,2,0.2514,0.8100,1.4600,0,1.0200,1.5600,0,0.2326,0.2107,255,255
84,,2,0.2466,2.6100,2.8300,0,2.6500,2.6000,0,0.2335,0.2142,255,255
85,,2,0.2456,2.0900,0.5400,0,2.2200,0.7200,0,0.2220,0.2098,255,255
86,,2,0.2456,2.9100,2.5200,0,3.0800,2.6600,0,0.2202,0.2084,255,255
87,,2,0.2449,2.8000,1.3900,0,2.8700,1.6000,0,0.2214,0.2015,255,255
88,,2,0.2407,1.1100,0.2800,0,1.0300,0.4700,0,0.2062,0.2270,255,255
89,,2,0.2397,1.1400,1.8600,0,1.3100,2.0000,0,0.2202,0.2035,255,255
