 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,0.0701,1.0681,0.3505,0.2546,87.2952,0.7721,1.3767,0.7264,0.9260
2,,0.2027,4.3702,0.8118,0.3179,89.1999,0.1334,2.5534,0.3916,0.6190
3,,0.0488,1.0998,0.3401,0.1827,51.1020,0.5070,1.8620,0.5370,0.8215
4,,0.0261,0.6950,0.2771,0.1199,127.4071,0.6791,2.3110,0.4327,0.8788
5,,0.0195,0.5404,0.1893,0.1312,76.1384,0.8390,1.4431,0.6929,0.9353
6,,0.0117,0.4897,0.2158,0.0690,79.9806,0.6131,3.1251,0.3200,0.9000
7,,0.0056,0.2873,0.1181,0.0603,100.7669,0.8527,1.9578,0.5108,0.9333
8,,0.0043,0.2531,0.1068,0.0513,82.8613,0.8433,2.0841,0.4798,0.9348
9,,0.0224,0.5701,0.1779,0.1603,177.1253,0.8660,1.1098,0.9011,0.9032
10,,0.0132,0.5263,0.2315,0.0726,74.0110,0.5989,3.1883,0.3136,0.8949
11,,0.0077,0.3438,0.1430,0.0686,1.1723,0.8184,2.0847,0.4797,0.9059
12,,0.0018,0.1449,0.0535,0.0428,90.0000,1.0000,1.2483,0.8011,0.9474
13,,0.1542,2.7825,0.9567,0.2052,112.5374,0.2503,4.6616,0.2145,0.6624
14,,0.0606,1.3033,0.5637,0.1369,102.4752,0.4484,4.1187,0.2428,0.8464
15,,0.0160,0.5204,0.1926,0.1058,80.2771,0.7424,1.8213,0.5491,0.9065
16,,0.0672,1.2451,0.5564,0.1538,50.9874,0.5447,3.6179,0.2764,0.9263
17,,0.1164,2.0905,0.8249,0.1797,92.3922,0.3347,4.5917,0.2178,0.8128
18,,0.0524,0.9091,0.2959,0.2255,147.4510,0.7967,1.3120,0.7622,0.9137
19,,0.0049,0.2673,0.1046,0.0596,94.6820,0.8619,1.7552,0.5697,0.9074
20,,0.0550,1.1350,0.4665,0.1501,103.6695,0.5365,3.1072,0.3218,0.9002
21,,0.0227,0.6501,0.2679,0.1079,40.0575,0.6749,2.4827,0.4028,0.8833
22,,0.0716,1.1447,0.4302,0.2119,72.7431,0.6867,2.0306,0.4925,0.9353
23,,0.0062,0.2814,0.0993,0.0795,113.8794,0.9838,1.2500,0.8000,0.9394
24,,0.0085,0.3297,0.1077,0.1005,138.6202,0.9826,1.0723,0.9326,0.9444
25,,0.2712,2.1338,0.7104,0.4861,117.1794,0.7485,1.4614,0.6843,0.9418
26,,0.0153,0.6156,0.2876,0.0677,95.3507,0.5074,4.2463,0.2355,0.9301
27,,0.0176,0.5887,0.2350,0.0954,105.6098,0.6382,2.4640,0.4058,0.8822
28,,0.0100,0.3721,0.1334,0.0954,32.0147,0.9074,1.3978,0.7154,0.9174
29,,0.0319,0.7643,0.3131,0.1297,111.9562,0.6863,2.4139,0.4143,0.9233
30,,0.0038,0.2590,0.1115,0.0434,77.1873,0.7119,2.5712,0.3889,0.8837
31,,0.0012,0.1166,0.0451,0.0339,90.0000,1.0000,1.3333,0.7500,1.0000
32,,0.0321,0.7160,0.2708,0.1509,153.0086,0.7869,1.7946,0.5572,0.9198
33,,0.0355,0.7336,0.2305,0.1961,155.2762,0.8290,1.1754,0.8507,0.9056
34,,0.0070,0.3014,0.0992,0.0899,126.6753,0.9682,1.1035,0.9062,0.9459
35,,0.0185,0.6628,0.2970,0.0793,75.7721,0.5291,3.7447,0.2670,0.8981
36,,0.0089,0.3356,0.1101,0.1030,39.7977,0.9932,1.0691,0.9354,0.9570
37,,0.0307,0.7018,0.2262,0.1728,63.8189,0.7832,1.3095,0.7637,0.9289
38,,0.0062,0.3097,0.1250,0.0631,64.8076,0.8123,1.9804,0.5049,0.8986
39,,0.0303,0.6736,0.2171,0.1777,82.3437,0.8393,1.2216,0.8186,0.9323
40,,0.0224,0.5604,0.1964,0.1452,89.0060,0.8963,1.3528,0.7392,0.9532
41,,0.0148,0.4687,0.1670,0.1129,105.4758,0.8466,1.4795,0.6759,0.9279
42,,0.0184,0.5204,0.1930,0.1214,87.9067,0.8537,1.5898,0.6290,0.9412
43,Mean,0.0392,0.8067,0.2822,0.1336,91.9052,0.7310,2.1399,0.5622,0.9016
44,SD,0.0550,0.7868,0.2169,0.0836,34.7210,0.2033,1.0234,0.2202,0.0684
45,Min,0.0012,0.1166,0.0451,0.0339,1.1723,0.1334,1.0691,0.2145,0.6190
46,Max,0.2712,4.3702,0.9567,0.4861,177.1253,1.0000,4.6616,0.9354,1.0000
