Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel (um),0.1122, ,Mean Pore Area (um^2),0.0392
Histogram Mean (um),0.1005, ,Pore Area SD (um^2),0.0550
Histogram SD (um),0.0382, ,Min. Pore Area (um^2),0.0012
Histogram Mode (um),0.0800, ,Max. Pore Area (um^2),0.2712
Histogram Median (um),0.1000, ,Percent Porosity,0.4286
Histogram Min Diam. (um),0.0200, ,Number of Pores,42.0000
Histogram Max Diam. (um),0.2800, ,# of Intersections,127.0000
Histogram Integrated Density,138.5100, ,Intersection Density (Ints/um^2),1.37134E1
Histogram Raw Integrated Density,138.5100, ,Char. Length (um),0.2136
Diameter Skewness,0.6398, ,SD Char. Length (um),0.1545
Diameter Kurtosis,0.5727, ,Max Span Length (um),0.9415
Fiber Length (um),25.7600, ,Old Char. Length (Tot. Fiber Len./# intersections) (um),0.3719
