 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
1,,1,0.7460,0.0700,1.9000,0,0.3200,1.3000,0,0.6500,0.7020,255,255
2,,1,0.7228,2.7100,0.0700,0,2.9200,0.7000,0,0.6641,0.6762,255,255
3,,1,0.7014,2.8600,2.2100,0,2.8800,2.8700,0,0.6603,0.6456,255,255
4,,1,0.6804,1.3200,0.0100,0,1.9200,0.1100,0,0.6083,0.6542,255,255
5,,1,0.6736,0.5500,1.7900,0,0.7900,1.4700,0,0.4000,0.6253,255,255
6,,1,0.6348,0.8600,1.2200,0,0.9500,0.6400,0,0.5869,0.5716,255,255
7,,1,0.6180,2.6200,2.7400,0,2.7600,2.1800,0,0.5772,0.5658,255,255
8,,1,0.5987,1.9500,2.1900,0,2.1000,1.7300,0,0.4838,0.5436,255,255
9,,1,0.5911,2.4300,1.0800,0,2.7300,1.3400,0,0.3970,0.5246,255,255
10,,1,0.5856,3.1400,1.6100,0,2.9000,2.0000,0,0.4579,0.5629,255,255
11,,1,0.5614,2.9600,0.8800,0,3.0400,0.5000,0,0.3883,0.5275,255,255
12,,1,0.5563,1.3600,1.0900,0,1.7000,0.7800,0,0.4601,0.5006,255,255
13,,1,0.5249,3.1200,0.0200,0,3.0400,0.5000,0,0.4866,0.5092,255,255
14,,1,0.5180,0.3200,1.3000,0,0.4600,0.8800,0,0.4427,0.4757,255,255
15,,1,0.5077,1.0900,1.6800,0,1.4800,1.4100,0,0.4743,0.4742,255,255
16,,1,0.4963,0.1900,0.6200,0,0.0500,1.0500,0,0.4522,0.4702,255,255
17,,1,0.4873,0.6800,2.5100,0,1.1300,2.4800,0,0.4510,0.4427,255,255
18,,1,0.4851,1.1500,2.9200,0,1.1300,2.4800,0,0.4405,0.4645,255,255
19,,1,0.4807,0.4400,0.1400,0,0.8800,0.1700,0,0.4410,0.4688,255,255
20,,1,0.4704,2.3800,0.4600,0,2.5900,0.1200,0,0.3996,0.4115,255,255
21,,1,0.4638,2.1000,2.3800,0,2.2500,2.7700,0,0.4179,0.4032,255,255
22,,1,0.4521,2.6400,2.2900,0,2.4500,2.1200,0,0.2550,0.4283,255,255
23,,1,0.4504,1.0000,1.9000,0,1.1700,2.2800,0,0.4163,0.3943,255,255
24,,1,0.4256,1.7400,1.4900,0,1.8700,1.8500,0,0.3828,0.3674,255,255
