 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,,0.3525,3.5146,0.9276,0.4838,81.2944,0.3586,1.9173,0.5216,0.7862
2,,0.0180,0.5263,0.1883,0.1217,75.2588,0.8167,1.5478,0.6461,0.9326
3,,0.0198,0.6043,0.2430,0.1037,126.6266,0.6814,2.3424,0.4269,0.8534
4,,0.0197,0.6121,0.2586,0.0970,83.6810,0.6607,2.6657,0.3751,0.9249
5,,0.0043,0.2414,0.0957,0.0572,104.7032,0.9271,1.6716,0.5982,0.9053
6,,0.2547,3.8740,1.2136,0.2672,58.2993,0.2133,4.5414,0.2202,0.6169
7,,0.0152,0.5404,0.2293,0.0844,73.3305,0.6540,2.7168,0.3681,0.8994
8,,0.0031,0.1873,0.0646,0.0611,149.0362,1.0000,1.0578,0.9454,0.9254
9,,0.3447,4.9773,0.7765,0.5652,117.7376,0.1748,1.3739,0.7279,0.5757
10,,0.1092,1.4857,0.6283,0.2213,94.5593,0.6217,2.8394,0.3522,0.9357
11,,0.0682,1.2534,0.5534,0.1569,50.4929,0.5455,3.5269,0.2835,0.9051
12,,0.0339,0.8853,0.3847,0.1122,84.1577,0.5436,3.4289,0.2916,0.9150
13,,0.0210,0.5570,0.1927,0.1388,66.7537,0.8506,1.3888,0.7200,0.9333
14,,0.0230,0.8560,0.3789,0.0773,109.3653,0.3945,4.9030,0.2040,0.8471
15,,0.0703,1.1281,0.4310,0.2077,72.0914,0.6942,2.0756,0.4818,0.9417
16,,0.0191,0.6160,0.2510,0.0969,37.9608,0.6326,2.5903,0.3861,0.8414
17,,0.0078,0.3214,0.1102,0.0901,111.0093,0.9488,1.2233,0.8175,0.9398
18,,0.0808,1.2843,0.4712,0.2184,84.9115,0.6156,2.1578,0.4634,0.9245
19,,0.0032,0.1990,0.0678,0.0601,141.7823,1.0000,1.1284,0.8862,0.9412
20,,0.0238,0.7638,0.3528,0.0859,91.3241,0.5126,4.1078,0.2434,0.9119
21,,0.2331,1.9138,0.6121,0.4849,104.6819,0.7998,1.2622,0.7923,0.9505
22,,0.0047,0.2990,0.1337,0.0447,80.8635,0.6607,2.9887,0.3346,0.8868
23,,0.0179,0.5887,0.2387,0.0955,105.0573,0.6490,2.5001,0.4000,0.8950
24,,0.0085,0.3380,0.1211,0.0894,51.3299,0.9350,1.3552,0.7379,0.9189
25,,0.0385,0.8384,0.3324,0.1475,111.6972,0.6883,2.2539,0.4437,0.9200
26,,0.0097,0.3756,0.1363,0.0906,102.7359,0.8642,1.5039,0.6649,0.9282
27,,0.0359,0.7608,0.2765,0.1653,145.7001,0.7793,1.6727,0.5978,0.8821
28,,0.0800,1.5188,0.4757,0.2141,82.6006,0.4358,2.2218,0.4501,0.8028
29,,0.0098,0.3638,0.1182,0.1056,163.7336,0.9302,1.1196,0.8932,0.9333
30,,0.0041,0.2273,0.0823,0.0634,48.5047,0.9974,1.2983,0.7702,0.9318
31,,0.0569,1.1853,0.5257,0.1378,87.1403,0.5090,3.8141,0.2622,0.9436
32,,0.0321,0.7536,0.2436,0.1678,69.1492,0.7104,1.4522,0.6886,0.8917
33,,0.0440,0.8643,0.2624,0.2135,71.6035,0.7402,1.2288,0.8138,0.9082
34,Mean,0.0627,1.0441,0.3448,0.1614,92.0962,0.6832,2.2387,0.5397,0.8863
35,SD,0.0938,1.0903,0.2624,0.1263,30.4881,0.2165,1.0521,0.2212,0.0847
36,Min,0.0031,0.1873,0.0646,0.0447,37.9608,0.1748,1.0578,0.2040,0.5757
37,Max,0.3525,4.9773,1.2136,0.5652,163.7336,1.0000,4.9030,0.9454,0.9505
