Diameter_Metrics,Diameter_Values,_,Other_Metrics,Values
Super Pixel (um),0.1285, ,Mean Pore Area (um^2),0.0627
Histogram Mean (um),0.0898, ,Pore Area SD (um^2),0.0938
Histogram SD (um),0.0358, ,Min. Pore Area (um^2),0.0031
Histogram Mode (um),0.0800, ,Max. Pore Area (um^2),0.3525
Histogram Median (um),0.1000, ,Percent Porosity,0.4956
Histogram Min Diam. (um),0.0200, ,Number of Pores,33.0000
Histogram Max Diam. (um),0.2800, ,# of Intersections,111.0000
Histogram Integrated Density,128.1900, ,Intersection Density (Ints/um^2),1.19857E1
Histogram Raw Integrated Density,128.1900, ,Char. Length (um),0.2313
Diameter Skewness,0.8867, ,SD Char. Length (um),0.1555
Diameter Kurtosis,1.5218, ,Max Span Length (um),0.7460
Fiber Length (um),26.3500, ,Old Char. Length (Tot. Fiber Len./# intersections) (um),0.3280
